event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-04-01T10:00:00Z,view,1409,200,electronics.smartphone,Acme,1106.02,2254,sess-08025
2020-04-01T10:00:01Z,view,1520,400,home.kitchen,Globex,760.51,245,sess-03071
2020-04-01T10:00:02Z,view,4611,400,home.kitchen,Nova,1304.60,3680,sess-19310
2020-04-01T10:00:03Z,purchase,5552,300,apparel.shoes,Nova,508.21,1274,sess-07056
2020-04-01T10:00:08Z,view,6881,200,electronics.smartphone,Acme,69.96,2818,sess-19783
2020-04-01T10:00:10Z,cart,2291,400,home.kitchen,Globex,929.69,4523,sess-09607
2020-04-01T10:00:06Z,purchase,1750,200,electronics.smartphone,Nova,1283.70,1867,sess-09483
2020-04-01T10:00:14Z,view,8428,300,apparel.shoes,Acme,318.21,2989,sess-05330
2020-04-01T10:00:24Z,view,9751,210,electronics.audio,Globex,408.57,2006,sess-05355
2020-04-01T10:00:09Z,cart,1916,300,apparel.shoes,Globex,604.74,1877,sess-01052
2020-04-01T10:00:10Z,cart,4483,300,apparel.shoes,Umbra,966.06,4090,sess-12965
2020-04-01T10:00:33Z,view,5040,210,electronics.audio,Nova,878.96,4599,sess-17662
2020-04-01T10:00:12Z,view,4593,300,apparel.shoes,Globex,1134.89,1134,sess-16697
2020-04-01T10:00:26Z,view,7916,210,electronics.audio,Umbra,895.85,4886,sess-02082
2020-04-01T10:00:28Z,view,2876,200,electronics.smartphone,Nova,513.56,4399,sess-08744
2020-04-01T10:00:45Z,purchase,8433,210,electronics.audio,Acme,1144.13,27,sess-08631
2020-04-01T10:00:48Z,view,9317,300,apparel.shoes,Acme,1144.95,4989,sess-06518
2020-04-01T10:00:34Z,cart,9005,300,apparel.shoes,Globex,1318.69,160,sess-03666
2020-04-01T10:00:18Z,view,4946,200,electronics.smartphone,Globex,731.56,4648,sess-02581
2020-04-01T10:00:38Z,view,8787,210,electronics.audio,Globex,1309.29,4504,sess-05411
2020-04-01T10:00:20Z,view,6107,210,electronics.audio,Globex,778.78,3269,sess-12237
2020-04-01T10:00:21Z,view,2049,210,electronics.audio,Acme,349.02,2770,sess-00690
2020-04-01T10:00:22Z,cart,1964,200,electronics.smartphone,Globex,1290.15,1876,sess-02209
2020-04-01T10:01:09Z,view,8953,300,apparel.shoes,Nova,1403.59,1756,sess-17670
2020-04-01T10:00:48Z,view,8749,210,electronics.audio,Nova,990.18,3335,sess-06240
2020-04-01T10:00:25Z,view,8651,400,home.kitchen,Globex,1093.68,444,sess-03225
2020-04-01T10:00:52Z,view,4116,210,electronics.audio,Globex,279.31,4394,sess-14701
2020-04-01T10:00:27Z,view,8260,200,electronics.smartphone,Acme,1498.93,4509,sess-03209
2020-04-01T10:00:28Z,view,3724,210,electronics.audio,Globex,1297.65,3330,sess-15914
2020-04-01T10:00:58Z,cart,1035,400,home.kitchen,Nova,1178.77,3199,sess-08691
2020-04-01T10:01:30Z,view,3536,400,home.kitchen,Acme,92.43,1556,sess-09723
2020-04-01T10:01:33Z,view,1936,300,apparel.shoes,Globex,1379.48,411,sess-19143
2020-04-01T10:00:32Z,view,9320,200,electronics.smartphone,Nova,106.60,657,sess-06090
